GPT-4 Accuracy	ChatGPT Accuracy	BERT Accuracy	Author	Title	Year	Bing Hits	Google Hits	C4 Hits	Pile Hits	Source	Sub-source	ChatGPT predicted year	GPT-4 predicted year	ID
0	0.02	0	Tom Clancy	Patriot Games	1987	0	0.6	0.1	2.3	Genre Fiction	Action/Spy	1984	1984	clancy_patriot_games_Patriot_Games
0	0.01	0	Julie Garwood	The Bride	1989	0.1	0.3	0	2	Genre Fiction	Romance	1950	1985	garwood_the_bride_The_Bride
0	0	0	Richard Price	Clockers	1992	0	0	0	2.9	Genre Fiction	Mystery/Crime	2013	1995	price_clockers_Clockers
0	0	0	Nicholas Sparks	The Notebook	1996	0	2.1	0.222	2.3	Genre Fiction	Romance	2010	1985	sparks_the_notebook_The_Notebook
0	0	0	Octavia E. Butler	Parable of the Talents	1998	0	0.5	0.1	3	Genre Fiction	SF/Fantasy	1930	1980	butler_parable_of_the_talents_Parable_of_the_Talents
0	0	0	Stella Rimington	At Risk	2004	0.3	0.7	0.2	1	Genre Fiction	Action/Spy	2010	2005	rimington_at_risk_At_Risk
0	0	0.01	Jojo Moyes	Me Before You	2012	0.8	19402	29.6	6	Genre Fiction	Romance	2012	2010	moyes_me_before_you_Me_Before_You
0	0	0	Sylvia Day	Bared to You	2012	0.1	3.5	1	1	Genre Fiction	Romance	2012	2012	day_bared_to_you_Bared_to_You
0	0	0	Colleen Hoover	It Ends with Us	2016	0.4	4.7	0	1	Genre Fiction	Romance	2021	2015	hoover_it_ends_with_us_It_Ends_with_Us
0	0	0	Kate Quinn	The Alice Network	2017	0	1.1	0	2	Genre Fiction	Action/Spy	2018	2010	quinn_the_alice_network_The_Alice_Network
0	0	0	N.K. Jemisin	The Stone Sky	2017	0.1	0.4	0.1	0.9	Genre Fiction	SF/Fantasy	Unknown (This passage appears to be from a work of fiction set in a fictional world, so it is impossible to predict a specific year.)	2015	jemisin_the_stone_sky_The_Stone_Sky
0	0	0	Mulk Raj Anand	Coolie	1936	0	0.4	0	1.6	Global	Asia	1940	1936	anand_coolie_Coolie
0	0	0	C. L. R. James	Minty Alley	1936	0	0	0	0.1	Global	Americas	1920	1935	james_minty_alley_Minty_Alley
0	0	0	D'Arcy Niland	The Shiralee	1955	0	0	0	0	Global	Oceania	1930	1950	niland_the_shiralee_The_Shiralee
0	0	0	V. S. Naipaul	A House for Mr. Biswas	1967	0.1	2.6	0	0.9	Global	Americas	1961	1961	naipaul_a_house_for_mr_biswas_A_House_for_Mr._Biswas
0	0	0	Alice Munro	Lives of Girls and Women	1971	0	1.2	0	2.1	Global	Americas	1960	1965	munro_lives_of_girls_and_women_Lives_of_Girls_and_Women
0	0	0	Helen Garner	Monkey Grip	1977	0.1	0.4	0	2	Global	Oceania	1984	1985	garner_monkey_grip_Monkey_Grip
0	0	0	Albert Wendt	Pouliuli	1977	0	0	0	0	Global	Oceania	Uncertain (The passage does not provide enough context to make a prediction of the year)	1970	wendt_pouliuli_Pouliuli
0	0	0	Jennifer Johnston	Shadows on our Skin	1977	0	0	0	0	Global	Europe	1960	1985	johnston_shadows_on_our_skin_Shadows_on_our_Skin
0	0	0	Anita Desai	Clear Light of Day	1980	0	1.5	0	2.1	Global	Asia	1952	1980	desai_the_clear_light_of_day_Clear_Light_of_Day
0	0	0	Earl Lovelace	The Wine of Astonishment	1982	0	1	0	0	Global	Americas	1940	1960	lovelace_the_wine_of_astonishment_The_Wine_of_Astonishment
0	0.01	0	Mudrooroo	Doctor Wooreddy's Prescription for Enduring the Ending of the World	1983	0	0	0	0	Global	Oceania	1830	1950	mudrooroo_doctor_wooreddys_prescription_Doctor_Wooreddy_s_Prescription_for_Enduring_the_Ending_of_the_World
0	0	0	Tsitsi Dangarembga	Nervous Conditions	1988	0.2	0.8	0	0	Global	Africa	1988	1988	dangarembga_nervous_conditions_Nervous_Conditions
0	0	0	David Malouf	The Great World	1990	0	0.1	0	1	Global	Oceania	1978	1985	malouf_the_great_world_The_Great_World
0	0	0	Mahasweta Devi	Imaginary Maps	1995	0.3	2.2	0	0	Global	Asia	1960	1970	devi_imaginary_maps_Imaginary_Maps
0	0	0	Figiel Sia	Where We Once Belonged	1996	0	0	0	0	Global	Oceania	Uncertain (The passage does not provide enough context to make a prediction of a specific year.)	1980	figiel_where_we_once_belonged_Where_We_Once_Belonged
0	0	0	Robert Barclay	Melal: A Novel of the Pacific	2002	0	56300	1	1.1	Global	Oceania	1954	1985	barclay_melal_Melal:_A_Novel_of_the_Pacific
0	0	0	Patricia Powell	A Small Gathering of Bones	2003	0	0	0	0	Global	Americas	1978	1978	powell_a_small_gathering_of_bones_A_Small_Gathering_of_Bones
0	0	0	Sefi Atta	Everything Good Will Come	2005	0	0.7	0.1	2	Global	Africa	2006	2000	atta_everything_good_will_come_Everything_Good_Will_Come
0	0	0	Aleksandar Hemon	The Lazarus Project	2006	0	0.3	0	1	Global	Europe	1920	1920	hemon_the_lazarus_project_The_Lazarus_Project
0	0	0	Yiyun Li	The Vagrants	2009	0.2	0.4	0	0.1	Global	Asia	1968	1985	li_the_vagrants_The_Vagrants
0	0	0	Aminatta Forna	The Memory of Love	2010	0	0	0	0	Global	Europe	1980	1985	forna_the_memory_of_love_The_Memory_of_Love
0	0	0	Helon Habila	Oil on Water	2011	0	1	0	1.8	Global	Africa	1998	2010	habila_oil_on_water_Oil_on_Water
0	0	0	Eleanor Catton	The Luminaries	2013	0	0.1	0.1	0.9	Global	Oceania	1865	2013	catton_the_luminaries_The_Luminaries
0	0	0	Neel Mukherjee	The Lives of Others	2014	0	0.2	0	2	Global	Asia	1978	1985	mukherjee_the_lives_of_others_The_Lives_of_Others
0	0.02	0	Mrs. Rowson	Charlotte Temple	1791	0.8	3.8	1.7	3.2	pre-1923 LitBank		1794	1791	171_charlotte_temple
0	0.01	0	Horatio, Jr. Alger	Adrift in New York: Tom and Florence Braving the World	1904	0	1.9	0.6	0.7	pre-1923 LitBank		1885	1890	18581_adrift_in_new_york_tom_and_florence_braving_the_world
0	0	0	P. G. (Pelham Grenville) Wodehouse	Piccadilly Jim	1919	0	0.8	0	3.4	pre-1923 LitBank		1920	1920	2005_piccadilly_jim
0	0	0.01	Josephine Winslow Johnson	Now in November	1935	0	0	0	0	Pulitzer		1930	1950	johnson_now_in_november_Now_in_November
0	0	0	Jr. A. B. Guthrie	The Way West	1950	0	0.4	0	0	Pulitzer		1851	1950	guthrie_the_way_west_The_Way_West
0	0	0	Conrad Richter	The Town	1951	0	0.1	0	0	Pulitzer		1930	1930	richter_the_town_The_Town
0	0	0	May Sarton	Joanna and Ulysses	1964	0	0	0	0	Pulitzer		1950	1950	sarton_joanna_and_ulysses_Joanna_and_Ulysses
0	0	0	Shirley Ann Grau	The Keepers of the House	1965	0	0.1	0	1	Pulitzer		1952	1950	grau_the_keepers_of_the_house_The_Keepers_of_the_House
0	0	0	Katherine Anne Porter	The Collected Stories of Katherine Anne Porter	1966	0.2	1.6	0	3.7	Pulitzer		1930	1950	porter_the_collected_stories_of_katherine_anne_porter_The_Collected_Stories_of_Katherine_Anne_Porter
0	0.01	0	Bernard Malamud	The Fixer	1967	0	0.2	0	2	Pulitzer		1940	1966	melamud_the_fixer_The_Fixer
0	0	0	N. Scott Momaday	House Made of Dawn	1969	0	1.9	0	3	Pulitzer		1962	1955	momaday_house_made_of_dawn_House_Made_of_Dawn
0	0	0	Jean Stafford	The Collected Stories of Jean Stafford	1970	0	0.4	0.1	3.1	Pulitzer		1950	1950	stafford_the_collected_stories_of_jean_stafford_The_Collected_Stories_of_Jean_Stafford
0	0	0	Eudora Welty	The Optimist's Daughter	1973	0	1.3	0	2.1	Pulitzer		1950	1950	welty_the_optimists_daughter_The_Optimist_s_Daughter
0	0	0	Saul Bellow	Humboldt's Gift	1976	0.1	0.8	0	0.8	Pulitzer		1968	1965	bellow_humboldts_gift_Humboldt_s_Gift
0	0	0.01	James Alan McPherson	Elbow Room	1978	0.1	0.7	0.2	0.3	Pulitzer		1965	1977	mcpherson_elbow_room_Elbow_Room
0	0	0	Norman Mailer	The Executioner's Song	1980	0	0	0	1	Pulitzer		1960	1970	mailer_executioners_song_The_Executioner_s_Song
0	0	0	Alison Lurie	Foreign Affairs	1985	0	0	0	2	Pulitzer		1960	1965	lurie_foreign_affairs_Foreign_Affairs
0	0	0	Anne Tyler	The Accidental Tourist	1986	0.3	1.1	0.222	1.1	Pulitzer		1985	1985	tyler_the_accidental_tourist_The_Accidental_Tourist
0	0	0	Jane Smiley	A Thousand Acres	1992	0	0.3	0	0	Pulitzer		1950	1985	smiley_a_thousand_acres_A_Thousand_Acres
0	0.01	0	Carol Shields	The Stone Diaries	1995	0.1	0.4	0	3	Pulitzer		1952	1980	shields_the_stone_diaries_The_Stone_Diaries
0	0.01	0	Richard Ford	Independence Day	1996	0	0.2	0	3	Pulitzer		2010	1990	ford_independence_day_Independence_Day
0	0	0	Joanna Scott	The Manikin	1997	0	0	0	2	Pulitzer		Cannot predict without more context as there is no clear indication of time period.	1985	scott_the_manikin_The_Manikin
0	0	0	Jhumpa Lahiri	Interpreter of Maladies	2000	1.7	751.8	5.8	0.8	Pulitzer		2003	2000	lahiri_interpreter_of_maladies_Interpreter_of_Maladies
0	0	0	Joyce Carol Oates	Blonde	2001	0	0.5	0	1.8	Pulitzer		1949	1955	oates_blonde_Blonde
0	0	0.01	Andrea Barrett	Servants of the Map: Stories	2003	0	0	0	1	Pulitzer		Unknown (no specific year mentioned in the passage)	1880	barrett_servants_of_the_map_Servants_of_the_Map:_Stories
0	0	0	Colson Whitehead	The Underground Railroad	2017	1.4	5.5	1	0.1	Pulitzer		1850	2016	whitehead_the_underground_railroad_The_Underground_Railroad
0	0	0	Hernan Diaz	In the Distance	2018	0	0.1	0	1	Pulitzer		1920	1950	diaz_in_the_distance_In_the_Distance
